year,quarter,course_id,instructor_name,subject,subject_number,response_rate,num_enrolled,num_responses,class_name,overall_avg,overall_std_dev,difficulty_avg,difficulty_med,difficulty_std_dev,zero_one,two_three,four_five,six_seven,eight_ten,eleven_fourteen,fifteen_plus
2018,Spring,67726,Erick Ramirez,PHIL,32,82.9,35,29,Neuroethics,4.6,0.9,4.6,5.0,0.9,10.3,55.2,24.1,10.3,0,0,0
2018,Spring,67068,Cara Chiaraluce,WGST,182,100.0,4,4,Sociology of Family,5,0,5.0,5.0,0.0,0,25,50,25,0,0,0
2018,Spring,66376,Katherine Aoki,ARTS,135,66.7,6,4,Printmaking,4.3,0.9,4.5,5.0,1.0,0,25,0,75,0,0,0
2018,Spring,66362,Renee Billingslea,ARTS,50,71.4,14,10,Film and Darkroom Photography,4.8,0.4,2.4,2.5,1.0,0,33.3,33.3,33.3,0,0,0
2018,Spring,67685,Josef Hellebrandt,GERM,113,100.0,11,11,German Film-Fassbinder to Akin,4.6,0.8,2.7,3.0,0.6,0,72.7,27.3,0,0,0,0
2018,Spring,67849,Andrea Brewster,ELSJ,9,72.2,18,13,ELSJ Milestone,3.1,1.4,3.1,3.0,1.2,38.5,61.5,0,0,0,0,0
2018,Spring,67691,Naomi Andrews,HIST,112,75.0,16,12,Haitian Revolution,4.6,0.7,4.5,5.0,0.7,16.7,16.7,33.3,25,8.3,0,0
2018,Spring,67875,Rong He,CENG,151,50.0,4,2,Special Topics in Trans Engr,4.9,0.1,4.0,4.0,1.4,50,0,50,0,0,0,0
2018,Spring,67646,William Greenwalt,CLAS,109,80.0,5,4,Hellenistic Age,4.3,0.9,4.3,4.5,1.0,0,0,75,25,0,0,0
2018,Spring,66558,Melan Jaich,COMM,194,50.0,10,5,Forensics Practicum,4.4,0.9,4.6,5.0,0.5,40,60,0,0,0,0,0
2018,Spring,67120,Marshall Mort,BUSN,85,41.2,17,7,Business Law,4.6,0.8,4.7,5.0,0.8,0,14.3,28.6,42.9,14.3,0,0
2018,Spring,67134,Connie Rice,BUSN,190,90.3,31,28,LSB Peer Advising Practicum,4.3,0.9,1.5,1.0,0.7,71.4,28.6,0,0,0,0,0
2018,Spring,67652,Justin Boren,COMM,176A,86.4,22,19,Biology of Human Communication,4.6,0.6,3.9,4.0,0.7,0,36.8,36.8,10.5,15.8,0,0
2018,Spring,66564,Charles Raphael,COMM,12,96.9,32,31,Technology and Communication,4.4,0.9,3.0,3.0,1.0,9.7,58.1,19.4,6.5,6.5,0,0
2018,Spring,66570,Gordon Young,COMM,190,76.9,13,10,Journalism Practicum,4.7,0.7,4.7,5.0,0.7,70,10,20,0,0,0,0
2018,Spring,67487,On Shun Pak,MECH,102,74.2,31,23,Intro to Math Methods in MECH,4.6,0.8,3.5,4.0,0.7,0,30.4,43.5,17.4,8.7,0,0
2018,Spring,66799,William Stevens,MUSC,1A,88.2,17,15,Musicianship I,4.7,0.6,4.7,5.0,0.5,14.3,57.1,21.4,7.1,0,0,0
2018,Spring,67493,Panthea Sepehrband,MECH,15,89.7,29,26,Intro to Material Science,4.1,1,3.9,4.0,0.6,0,30.8,50,15.4,3.8,0,0
2018,Spring,66969,Michelle Mueller,RSOC,9,66.7,24,16,Ways of Understanding Religion,4.1,0.9,3.1,3.0,0.9,25,56.3,6.3,12.5,0,0,0
2018,Spring,68011,Santanu Dutta,ELEN,602,100.0,8,8,Modern Time Analysis,4.5,0.9,4.6,5.0,0.7,0,50,25,12.5,12.5,0,0
2018,Spring,66996,Kathryn Moles,SOCI,132,71.4,14,10,Social Stratification,4.1,0.8,4.3,4.0,0.7,20,40,30,0,0,10,0
2018,Spring,68005,Michael Mcelfresh,MECH,287,100.0,9,9,Intro Alternative Energy Sys,3.9,1,2.1,2.0,1.1,22.2,66.7,11.1,0,0,0,0
2018,Spring,67336,Nicolette Meshkat,COEN,19,85.0,20,17,Discrete Mathematics,4.5,0.6,4.1,4.0,0.8,5.9,17.6,41.2,23.5,5.9,5.9,0
2018,Spring,66028,Margarita Levantovskaya,ENGL,2A,70.0,20,14,Critical Thinking & Writing II,4.4,1.1,3.4,3.0,1.0,0,57.1,14.3,21.4,7.1,0,0
2018,Spring,66766,Robert Bekes,MATH,8,78.8,33,26,Introduction to Statistics,3.8,1.1,3.2,3.0,1.1,3.8,46.2,42.3,3.8,3.8,0,0
2018,Spring,67478,On Shun Pak,MECH,122,92.9,14,13,Fluid Mechanics,4.8,0.6,4.8,5.0,0.6,0,15.4,30.8,30.8,7.7,15.4,0
2018,Spring,68039,Simon Seidler,MSIS,2641,87.5,16,14,Info Tech: Ethics & Pub Policy,4,1,3.4,3.5,1.3,0,7.1,21.4,28.6,35.7,0,7.1
2018,Spring,66014,Donald Riccomini,ENGL,12A,92.0,25,23,Cultures and Ideas II,4.6,0.6,3.5,4.0,0.6,8.7,26.1,43.5,17.4,4.3,0,0
2018,Spring,66773,Corey Irving,MATH,51,66.7,9,6,Discrete Mathematics,3.7,1,3.5,3.5,1.0,0,0,50,33.3,0,16.7,0
2018,Spring,66015,Cory Wade,ENGL,12A,96.0,25,24,Cultures and Ideas II,3.9,1.4,4.2,5.0,1.5,8.3,50,29.2,12.5,0,0,0
2018,Spring,68038,Lily Chang,MSIS,2606,92.9,14,13,Software Project Management,3.9,1.4,3.5,4.0,1.1,0,0,38.5,30.8,23.1,7.7,0
2018,Spring,66767,Katelyn Byington,MATH,8,83.9,31,26,Introduction to Statistics,3.3,1.6,4.0,4.0,1.0,0,15.4,26.9,38.5,19.2,0,0
2018,Spring,67451,Daja Evans,ENGR,19,70.0,30,21,Ethics in Technology,4.8,0.5,4.9,5.0,0.5,55,35,10,0,0,0,0
2018,Spring,66029,Maura Tarnoff,ENGL,2A,83.3,18,15,Critical Thinking & Writing II,4.7,0.6,2.8,3.0,0.7,6.7,53.3,40,0,0,0,0
2018,Spring,67337,Navid Shaghaghi,COEN,45,77.8,18,14,Applied Programming in MATLAB,4.1,0.9,3.5,3.0,1.2,0,21.4,14.3,35.7,14.3,7.1,7.1
2018,Spring,68004,Michael Mcelfresh,ELEN,280,88.6,35,31,Intro Alternative Energy Sys,4.1,1.1,3.1,3.0,1.0,10,46.7,16.7,13.3,3.3,6.7,3.3
2018,Spring,66983,Tracy Dehaan,SOCI,1,82.9,35,29,Principles of Sociology,4.2,1,4.2,4.0,1.1,31,48.3,17.2,3.4,0,0,0
2018,Spring,66968,Maria Castaneda-liles,RSOC,139,73.9,23,17,Mexican Pop Catholicism &Gendr,4.6,0.7,2.4,2.0,0.9,11.8,41.2,41.2,5.9,0,0,0
2018,Spring,67492,T. Calvin Tszeng,MECH,140,78.9,19,15,Dynamics,3.3,1,3.3,3.0,1.2,0,40,46.7,13.3,0,0,0
2018,Spring,66798,Brian Baumbusch,MUSC,52,50.0,4,2,World Music Ensemble,4.5,0.5,3.0,3.0,0.0,50,50,0,0,0,0,0
2018,Spring,67109,Theresa Strickland,BUSN,170,100.0,11,11,Contemp Bus for Non-Majors,4.3,1.3,3.0,3.0,1.1,0,45.5,45.5,9.1,0,0,0
2018,Spring,66571,Fernando Silva,COMM,30,75.0,8,6,Intro to Digital Filmmaking,4.6,0.6,3.0,3.0,0.9,33.3,33.3,16.7,16.7,0,0,0
2018,Spring,66565,Sreela Sarkar,COMM,183A,76.2,21,16,Comm Develop & Social Change,4.6,0.6,3.1,3.0,0.7,6.3,62.5,25,6.3,0,0,0
2018,Spring,68548,Rita Madarassy,ECON,194,83.3,6,5,Peer Educator,4.8,0.4,4.8,5.0,0.4,0,100,0,0,0,0,0
2018,Spring,67653,Rohit Chopra,COMM,185A,84.0,25,21,New Media and Communication,4.7,0.5,3.5,3.0,1.0,0,52.4,28.6,4.8,4.8,4.8,4.8
2018,Spring,66559,Melan Jaich,COMM,198,72.7,22,16,Communication Internship,3.9,1.4,2.2,2.0,1.1,37.5,18.8,0,25,0,12.5,6.3
2018,Spring,67647,Daniel Turkeltaub,CLAS,128,80.0,5,4,Seneca: Tragedies,4.9,0.1,4.8,5.0,0.5,0,0,50,0,25,0,25
2018,Spring,67121,William Mains,BUSN,132,92.3,13,12,CLASP,4.8,0.4,5.0,5.0,0.0,25,66.7,8.3,0,0,0,0
2018,Spring,67874,Edwin Maurer,CENG,142,77.8,9,7,Water Resources Design,4.5,0.7,2.9,3.0,1.1,28.6,42.9,14.3,0,14.3,0,0
2018,Spring,67690,William Greenwalt,HIST,109,33.3,3,1,Hellenistic Age,5,0,5.0,5.0,0.0,0,0,0,100,0,0,0
2018,Spring,67684,James Lai,ETHN,185,81.8,11,9,Seminar in Racial/Ethn Politic,4.4,0.6,2.9,3.0,0.8,0,55.6,22.2,11.1,11.1,0,0
2018,Spring,66377,Amir Attia,ARTS,175,73.3,15,11,Graphic Design,4.7,0.5,4.8,5.0,0.4,18.2,63.6,9.1,9.1,0,0,0
2018,Spring,67733,Harry Clark,PHSC,7,65.5,29,19,Public Health and Ethics,4.4,0.7,4.2,4.0,0.9,0,26.3,42.1,26.3,5.3,0,0
2018,Spring,67900,David Gray,RELS,90H,77.8,9,7,Theories & Methods - Honors,4.8,0.5,3.4,4.0,0.8,14.3,14.3,42.9,28.6,0,0,0
2018,Spring,67914,Arthur Liebscher,HIST,166,100.0,8,8,Latin America: Empires,4.3,0.9,2.9,3.0,0.8,0,50,50,0,0,0,0
2018,Spring,67928,Nadya Shirokova,AMTH,246,81.0,21,17,Linear Algebra II,4,0.8,4.0,4.0,0.8,0,41.2,52.9,5.9,0,0,0
2018,Spring,67096,Christopher Lee,ACTG,12,81.8,33,27,Intro to Managerial Accounting,4.2,0.9,3.7,4.0,0.8,7.4,37,44.4,3.7,3.7,3.7,0
2018,Spring,66607,Natalie Linnell,CSCI,61,66.7,15,10,Data Structures,4.4,0.7,4.4,4.0,0.5,0,0,40,20,40,0,0
2018,Spring,67519,Lawrence Nelson,HNRS,20,100.0,10,10,Difficult Dialogues,4.5,0.6,4.4,4.0,0.5,0,0,10,70,10,0,10
2018,Spring,66161,Gerardo Lopez,EDUC,428,85.0,20,17,Financial Management,4.2,1.2,3.3,3.0,0.8,6.7,33.3,60,0,0,0,0
2018,Spring,66613,Navid Shaghaghi,CSCI,61,88.6,44,39,Data Structures,3.9,1,3.9,4.0,1.1,0,2.6,28.2,30.8,20.5,10.3,7.7
2018,Spring,67525,Ernesto Alvarez,MILS,23,83.3,12,10,"Leadership,Changing Environmen",4,1.2,2.6,3.0,1.2,30,30,30,0,10,0,0
2018,Spring,67243,Sumana Sur,OMIS,34,75.0,28,21,"Science,Info Tech, Busn & Soc",4.3,0.8,3.3,3.5,1.0,14.3,42.9,28.6,4.8,4.8,0,4.8
2018,Spring,67257,Homi Fatemi,OMIS,40,88.5,26,23,Statistics & Data Analysis I,4.6,0.6,3.5,4.0,0.8,4.3,65.2,26.1,4.3,0,0,0
2018,Spring,66149,Kathleen Stoehr,EDUC,264,92.3,26,24,"Elem Meth in Sci, Health & PE",4.8,0.6,3.5,3.0,0.9,12.5,37.5,33.3,4.2,12.5,0,0
2018,Spring,66808,Joshua Reed,MUSC,145,66.7,3,2,Jazz Ensemble,5,0,5.0,5.0,0.0,0,50,50,0,0,0,0
2018,Spring,66820,Philip Kain,PHIL,16,76.5,34,26,History of Western Phil:Modern,4.1,1,3.1,3.0,1.0,15.4,34.6,23.1,19.2,7.7,0,0
2018,Spring,67280,Zhiwen Zhang,BIOE,163,82.8,29,24,Bio-Device Engineering,3.5,1.2,3.2,3.0,0.9,16.7,41.7,37.5,4.2,0,0,0
2018,Spring,67294,Rong He,CENG,10,77.8,18,14,Surveying,4,1,4.0,4.0,0.9,0,78.6,7.1,14.3,0,0,0
2018,Spring,66834,Jamie Chang,PHSC,1,90.6,32,29,Human Health and Disease,4,1,3.8,4.0,0.7,0,31,55.2,10.3,3.4,0,0
2018,Spring,66836,Laura Chyu,PHSC,190,84.2,19,16,Public Health Capstone,4.6,0.6,4.6,5.0,0.6,0,25,37.5,12.5,18.8,6.3,0
2018,Spring,67296,Edwin Maurer,CENG,140,63.2,19,12,Water Resources Engineering,4.4,0.6,3.7,4.0,0.9,0,33.3,41.7,16.7,8.3,0,0
2018,Spring,67241,Mehmet Goceri,OMIS,34,92.0,25,23,"Science,Info Tech, Busn & Soc",3.6,1.2,3.0,3.0,1.0,22.7,63.6,9.1,0,0,4.5,0
2018,Spring,67527,Daniel Fisher,MILS,133,80.0,5,4,Applied Leadrship/Operation II,4.4,1,3.0,3.0,0.0,25,50,25,0,0,0,0
2018,Spring,66639,Juan Velasco,ENGL,73,69.2,26,18,Life Writing,4.6,0.7,4.6,5.0,0.6,0,5.6,61.1,33.3,0,0,0
2018,Spring,67533,Matthew Jobin,ANTH,1,74.1,27,20,Intro to Biological Anth,4.5,0.8,4.7,5.0,0.5,10,50,40,0,0,0,0
2018,Spring,67255,Richard Schaffzin,OMIS,41,82.1,28,23,Statistics & Data Analysis II,4.3,0.8,3.6,4.0,0.9,13,30.4,30.4,21.7,4.3,0,0
2018,Spring,66605,Natalie Linnell,CSCI,61,86.2,29,25,Data Structures,4.2,0.9,4.2,4.0,0.9,0,4,36,32,16,8,4
2018,Spring,66611,Natalie Linnell,CSCI,60,65.4,26,17,Object Oriented Programming,4.5,0.7,3.8,4.0,0.8,29.4,52.9,11.8,5.9,0,0,0
2018,Spring,67902,Florian Grosser,PHIL,28,92.3,13,12,Ethics in Politics,4.8,0.5,4.8,5.0,0.4,8.3,75,16.7,0,0,0,0
2018,Spring,67916,Aparajita Nanda,COMM,187A,86.4,22,19,Cinema in Age of Globalization,4.6,1,2.7,3.0,0.7,15.8,47.4,21.1,15.8,0,0,0
2018,Spring,67725,Meilin Chinn,PHIL,29,57.6,33,19,Ethics and the Environment,4.6,0.6,3.7,4.0,0.9,15.8,31.6,42.1,10.5,0,0,0
2018,Spring,66349,Mohammed Kadalah,ARAB,3,91.7,12,11,Elementary Arabic III,5,0,3.3,3.0,0.6,9.1,27.3,36.4,18.2,9.1,0,0
2018,Spring,661311,Jill Wickersham,CPSY,333,62.5,8,5,Counseling Practicum,4.8,0.4,2.6,3.0,1.7,60,20,20,0,0,0,0
2018,Spring,67731,Luis Cheng-guajardo,PHIL,154,57.1,14,8,The Problem of Free Will,4.4,1.1,4.3,4.0,0.7,25,12.5,25,25,12.5,0,0
2018,Spring,67719,Robert Shanklin,PHIL,26,68.6,35,24,Ethics in Business,4.7,0.5,4.8,5.0,0.4,8.3,66.7,16.7,4.2,4.2,0,0
2018,Spring,66361,Ryan Carrington,ARTS,164,80.0,15,12,Sculpture,4.9,0.4,4.9,5.0,0.3,0,8.3,33.3,41.7,8.3,8.3,0
2018,Spring,66375,Amir Attia,ARTS,75,50.0,4,2,Basic Graphic Design,5,0,5.0,5.0,0.0,0,0,100,0,0,0,0
2018,Spring,67692,Naomi Andrews,HIST,121,85.7,7,6,Human Rights & Humanitariansm,4.6,0.5,3.7,3.5,1.2,0,33.3,16.7,33.3,16.7,0,0
2018,Spring,67686,Aaron Willis,HIST,60,85.0,20,17,Americas Immigrants,4.5,1,4.5,5.0,1.1,11.8,47.1,35.3,5.9,0,0,0
2018,Spring,67862,Michelle Burnham,HNRS,20,100.0,17,17,Difficult Dialogues,4.6,0.7,4.4,5.0,0.9,5.9,35.3,35.3,17.6,5.9,0,0
2018,Spring,67651,Katharine Heintz,COMM,171A,81.0,21,17,The Business of Media,4.7,0.5,3.6,4.0,0.7,0,29.4,47.1,17.6,5.9,0,0
2018,Spring,67889,Matthew Harrigan,POLI,173,82.9,35,29,Sports & Politics in the U.S.,4.5,0.7,3.1,3.0,0.7,0,44.8,48.3,3.4,3.4,0,0
2018,Spring,67137,James Airola,ECON,114,57.6,33,19,Intermediate Microeconomics II,4.7,0.7,3.8,4.0,0.5,5.3,42.1,36.8,10.5,5.3,0,0
2018,Spring,67123,Tanya Bunger,BUSN,195A,88.5,26,23,Introduction to Global Fellows,4.1,1.2,2.2,2.0,1.0,73.9,21.7,4.3,0,0,0,0
2018,Spring,67645,Timothy Urdan,CHST,196,84.6,13,11,Future Teachers Project Semina,4.6,0.7,2.2,2.0,1.0,90.9,9.1,0,0,0,0,0
2018,Spring,66573,Fernando Silva,COMM,30,85.7,7,6,Intro to Digital Filmmaking,4.7,0.6,3.0,3.0,0.6,66.7,33.3,0,0,0,0,0
2018,Spring,66567,Emily Fraser,COMM,30,76.2,21,16,Intro to Digital Filmmaking,4.5,0.7,3.2,3.0,0.8,6.3,31.3,43.8,12.5,6.3,0,0
2018,Spring,661280,Elizabeth Agnew,CPSY,333,85.7,7,6,Counseling Practicum,5,0,2.5,2.0,1.8,33.3,33.3,16.7,0,0,16.7,0
2018,Spring,67484,Robert Marks,MECH,15,85.0,20,17,Intro to Material Science,3.8,1.1,4.4,4.0,0.6,0,58.8,17.6,23.5,0,0,0
2018,Spring,67335,Byron Walden,COEN,179,58.3,12,7,Theory of Algorithms,3.5,1,2.9,3.0,1.1,0,57.1,28.6,0,14.3,0,0
2018,Spring,68006,Mahmudur Rahman,ELEN,283,60.0,5,3,Charac of Photovoltaic Dev,4.3,1.2,4.3,4.0,0.6,0,0,0,0,100,0,0
2018,Spring,67453,Jessica Kuczenski,ENGR,110,70.0,20,14,Community Based Engr. Design,4.7,0.5,2.8,3.0,1.1,0,21.4,28.6,35.7,14.3,0,0
2018,Spring,66995,Michelle Stecker,SOCI,130,85.0,20,17,Social Entrepreneurship,4.8,0.4,2.9,3.0,1.0,5.9,52.9,29.4,5.9,5.9,0,0
2018,Spring,66759,Nicolette Meshkat,MATH,51,88.2,17,15,Discrete Mathematics,4.3,0.8,4.0,4.0,1.0,0,33.3,46.7,6.7,6.7,6.7,0
2018,Spring,670541,Claire Calalo,THTR,10,71.4,7,5,Intro to Performance Collabora,4.2,0.8,3.0,3.0,0.7,0,80,20,0,0,0,0
2018,Spring,66981,Roberto Mata,SCTR,112,55.6,27,15,Martyrdom,4.1,1.2,3.7,4.0,1.4,13.3,20,53.3,13.3,0,0,0
2018,Spring,66017,Nicholas Leither,ENGL,2A,66.7,18,12,Critical Thinking & Writing II,4.6,0.7,2.9,3.0,0.5,0,18.2,63.6,9.1,9.1,0,0
2018,Spring,66771,Corey Irving,MATH,51,50.0,4,2,Discrete Mathematics,3.1,1.3,3.0,3.0,1.4,0,0,0,50,50,0,0
2018,Spring,66765,Mona Musa,MATH,53,77.5,40,31,Linear Algebra,4.2,0.9,4.5,5.0,0.7,3.3,23.3,50,20,3.3,0,0
2018,Spring,66003,Matthew Kroot,ANTH,12A,91.3,23,21,Cultures and Ideas II,2.9,1.2,3.1,3.0,1.1,4.8,38.1,28.6,23.8,0,4.8,0
2018,Spring,66764,Norman Paris,MATH,14,82.4,34,28,Calculus & Analytic Geom IV,4.6,0.6,4.5,5.0,0.6,0,0,21.4,32.1,28.6,17.9,0
2018,Spring,66002,Matthew Kroot,ANTH,12A,83.3,24,20,Cultures and Ideas II,3.5,1.1,4.0,4.0,1.1,20,35,20,15,0,5,5
2018,Spring,66016,Nicholas Leither,ENGL,2A,66.7,15,10,Critical Thinking & Writing II,4.1,1.1,2.7,3.0,0.8,0,40,40,10,0,10,0
2018,Spring,66770,Richard Scott,MATH,14,75.0,24,18,Calculus & Analytic Geom IV,3.9,0.9,4.1,4.0,0.8,0,27.8,38.9,27.8,5.6,0,0
2018,Spring,66980,Jaime Wright,SCTR,33,56.5,23,13,NT Narratives & Cinema,4.1,1.1,3.2,3.0,0.7,0,23.1,53.8,15.4,7.7,0,0
2018,Spring,670540,Jennifer Bradford,THTR,10,71.4,7,5,Intro to Performance Collabora,3.8,1.1,3.0,3.0,0.7,0,80,20,0,0,0,0
2018,Spring,66758,Sarah Mcginley,MATH,176,75.0,8,6,Combinatorics,4.8,0.4,3.8,3.5,1,0,33.3,33.3,33.3,0,0,0
2018,Spring,68013,Joseph Weber,ELEN,645,44.4,9,4,Computer Vision II,3.4,1.4,3.5,3.5,1.3,0,50,25,25,0,0,0
2018,Spring,67320,Hisham Said,CENG,128,62.5,24,15,Engr Economics and Business,3.8,1,2.7,3.0,0.8,6.7,40,26.7,26.7,0,0,0
2018,Spring,68007,Siyuan Xin,ELEN,287,88.9,18,16,Energy Storage Systems,3.9,1,4.0,4.0,1.0,6.3,43.8,37.5,6.3,6.3,0,0
2018,Spring,66994,Enrique Pumar,SOCI,35,77.3,22,17,Introduction to Research,3.3,1.3,2.5,3.0,0.9,35.3,47.1,17.6,0,0,0,0
2018,Spring,67452,Daja Evans,ENGR,19,86.2,29,25,Ethics in Technology,4.7,0.9,4.8,5.0,0.8,32,56,12,0,0,0,0
2018,Spring,66943,Thomas Plante,PSYC,193,94.7,38,36,Psyc of Religion &Spirituality,4.2,0.9,3.1,3.0,0.8,11.1,33.3,38.9,11.1,5.6,0,0
2018,Spring,661281,Jean Riney-niewiadomski,CPSY,333,85.7,7,6,Counseling Practicum,5,0,2.6,3.0,1.5,66.7,0,0,0,0,16.7,16.7
2018,Spring,66566,Lisa Davis,COMM,40,72.2,18,13,Introduction to Journalism,4.3,0.9,3.8,4.0,1.1,0,53.8,30.8,7.7,0,7.7,0
2018,Spring,66572,Fernando Silva,COMM,30,85.7,7,6,Intro to Digital Filmmaking,5,0,3.3,3.5,0.8,33.3,16.7,33.3,16.7,0,0,0
2018,Spring,67122,Sterling Starbird,BUSN,188,80.0,15,12,Field Studies: NPI,4.6,0.8,4.6,5.0,0.8,0,16.7,41.7,33.3,0,0,8.3
2018,Spring,67650,Amy Eriksson,COMM,129B,60.9,23,14,Advanced Public Speaking,4.9,0.3,3.1,3.0,0.9,7.1,35.7,35.7,14.3,0,0,7.1
2018,Spring,68588,Behnam Dezfouli,COEN,193,33.3,6,2,Undergraduate Research,5,0,3.5,3.5,0.7,0,0,100,0,0,0,0
2018,Spring,67877,Kern Trembath,PMIN,201,100.0,6,6,Fundamental Theology,4.1,1.6,4.0,4.0,1.1,0,16.7,50,16.7,16.7,0,0
2018,Spring,67687,Paul Mariani,HIST,92,73.7,19,14,Modern East Asia,4.1,0.9,4.1,4.0,0.9,7.1,35.7,50,0,7.1,0,0
2018,Spring,67693,Amy Randall,HIST,133,100.0,8,8,History of Sexuality,4.4,0.9,4.5,5.0,0.8,0,12.5,50,25,12.5,0,0
2018,Spring,67718,Robert Shanklin,PHIL,26,85.7,35,30,Ethics in Business,4,1.2,3.8,4.0,1.3,3.3,36.7,46.7,6.7,6.7,0,0
2018,Spring,66360,Ryan Carrington,ARTS,164,71.4,7,5,Sculpture,5,0,5.0,5.0,0.0,0,40,20,20,20,0,0
2018,Spring,661310,Jean Riney-niewiadomski,CPSY,333,62.5,8,5,Counseling Practicum,4.7,0.7,2.6,3.0,1.7,60,20,20,0,0,0,0
2018,Spring,66348,Carolyn Trist,ANTH,50,50.0,14,7,World Geography,4.7,0.5,4.7,5.0,0.5,0,28.6,28.6,28.6,0,0,14.3
2018,Spring,67730,Shannon Vallor,PHIL,153,79.2,24,19,Philosophy of Science,4.9,0.3,4.4,4.0,0.6,0,15.8,42.1,36.8,5.3,0,0
2018,Spring,67042,Lynn Jencks,TESP,190,80.0,15,12,Celtic Christianity,4.6,0.9,4.8,5.0,0.6,8.3,25,41.7,25,0,0,0
2018,Spring,67917,Mohammed Kadalah,ARAB,137,87.5,8,7,Arabic Culture and Identity,4.9,0.3,3.6,4.0,0.5,0,14.3,42.9,42.9,0,0,0
2018,Spring,67081,Marilyn Edelstein,WGST,16,100.0,1,1,Multicultural Lit of the US,3.9,0,5.0,5.0,0.0,0,0,0,100,0,0,0
2018,Spring,66610,Nicholas Tran,CSCI,163A,62.5,16,10,Theory of Algorithms,4.3,0.8,4.2,4.0,0.8,0,40,30,10,10,10,0
2018,Spring,67268,Robert Kleinhenz,AMTH,108,63.6,11,7,Probability & Statistics,4.3,1,4.6,5.0,0.8,0,14.3,28.6,28.6,0,28.6,0
2018,Spring,67532,Matthew Jobin,ANTH,1,74.1,27,20,Intro to Biological Anth,4.4,0.8,4.7,5.0,0.5,15,30,55,0,0,0,0
2018,Spring,68167,Patrick Leveque,MUSC,161,100.0,8,8,Private Instruction - 45 mins,4.5,1.4,2.6,3.0,0.9,75,12.5,12.5,0,0,0,0
2018,Spring,67240,Haibing Lu,OMIS,30,88.2,34,30,Introduction to Programming,4.5,0.7,3.7,4.0,0.7,13.3,43.3,36.7,6.7,0,0,0
2018,Spring,66638,Amy Lueck,ENGL,16,72.2,18,13,Intro to Writing Studies,4.5,0.7,4.0,4.0,1.3,0,15.4,38.5,23.1,23.1,0,0
